// Genki One/Greetings
おはよう[おはよう]	おはよう	Good morning
おはよう　ございます[おはよう　ございます]	おはよう　ございます	Good morning (polite)
こんにちは[こんにちは]	こんにちは	Good afternoon
こんばんは[こんばんは]	こんばんは	Good evening
さようなら[さようなら]	さようなら	Good-bye
おやすみ（なさい）[おやすみ（なさい）]	おやすみなさい	Good night
ありがとう[ありがとう]	ありがとう	Thank you
ありがとう　ございます[ありがとう　ございます]	ありがとう　ございます	Thank you (polite)
すみません[すみません]	すみません	Excuse me; I'm sorry
いいえ[いいえ]	いいえ	No; Not at all
いってきます[いってきます]	いってきます	I'll go and come back
いってらっしゃい[いってらっしゃい]	いってらっしゃい	Please go and come back
ただいま[ただいま]	ただいま	I'm home
おかえり（なさい）[おかえり（なさい）]	おかえりなさい	Welcome home
いただきます[いただきます]	いただきます	Thank you for the meal (before eating)
ごちそうさま（でした）[ごちそうさま（でした）]	ごちそうさまでした	Thank you for the meal (after eating)
はじめまして[はじめまして]	はじめまして	How do you do?
よろしく　おねがいします[よろしく　おねがいします]	よろしく　おねがいします	Nice to meet you
// Genki One/Lesson One/Vocabulary
あの[あの]	あの	um ...
いま[いま]	いま	now
えいご[えいご]	えいご	English
ええ[ええ]	ええ	yes
がくせい[がくせい]	がくせい	student
~ご[~ご]	~ご	~language ex. にほんご Japanese
こうこう[こうこう]	こうこう	high school
ごご[ごご]	ごご	P.M.
ごぜん[ごぜん]	ごぜん	A.M.
~さい[~さい]	~さい	... years old
~さん[~さん]	~さん	Mr./Ms. ...
~じ[~じ]	~じ	o'clock ex. いちじ one o'clock
~じん[~じん]	~じん	... people ex. にほんじん Japanese people
せんこう[せんこう]	せんこう	major
せんせい[せんせい]	せんせい	teacher; Professor ...
そうです[そうです]	そうです	That's right
そうですか[そうですか]	そうですか	I see; Is that so?
だいがく[だいがく]	だいがく	college; university
でんわ[でんわ]	でんわ	telephone
ともだち[ともだち]	ともだち	friend
なまえ[なまえ]	なまえ	name
なん[なん]	なん	what
なに[なに]	なに	what
にほん[にほん]	にほん	Japan
~ねんせい[~ねんせい]	~ねんせい	... year student ex. いちねんせい first-year student
はい[はい]	はい	yes
はん[はん]	はん	half ex. にじはん half past two
ばんごう[ばんごう]	ばんごう	number
りゅうがくせい[りゅうがくせい]	りゅうがくせい	international student
わたし[わたし]	わたし	I
// Genki One/Lesson One/Countries
アメリカ[アメリカ]	あめりか	U.S.A.
イギリス[イギリス]	いぎりす	Britain
オーストラリア[オーストラリア]	おおすとらりあ	Australia
かんこく[かんこく]	かんこく	Korea
スウェーデン[スウェーデン]	すうぇえでん	Sweden
ちゅうごく[ちゅうごく]	ちゅうごく	China
// Genki One/Lesson One/Majors
かがく[かがく]	かがく	science
アジアけんきゅう[アジアけんきゅう]	アジアけんきゅう	Asian studies
けいざい[けいざい]	けいざい	economics
こくさいかんけい[こくさいかんけい]	こくさいかんけい	international relations
コンピューター[コンピューター]	こんぴゅうたあ	computer
じんるいがく[じんるいがく]	じんるいがく	anthropology
せいじ[せいじ]	せいじ	politics
ビジネス[ビジネス]	びじねす	business
ぶんがく[ぶんがく]	ぶんがく	literature
れきし[れきし]	れきし	history
// Genki One/Lesson One/Occupations
しごと[しごと]	しごと	job; work; occupation
いしゃ[いしゃ]	いしゃ	doctor
かいしゃいん[かいしゃいん]	かいしゃいん	office worker
こうこうせい[こうこうせい]	こうこうせい	high school student
しゅふ[しゅふ]	しゅふ	housewife
だいがくいんせい[だいがくいんせい]	だいがくいんせい	graduate student
だいがくせい[だいがくせい]	だいがくせい	college student
べんごし[べんごし]	べんごし	lawyer
// Genki One/Lesson One/Family
おかあさん[おかあさん]	おかあさん	mother
おとうさん[おとうさん]	おとうさん	father
おねえさん[おねえさん]	おねえさん	older sister
おにいさん[おにいさん]	おにいさん	older brother
いもうと[いもうと]	いもうと	younger sister
おとうと[おとうと]	おとうと	younger brother
// Genki One/Lesson One/Japanese Names
さとお[さとお]	さとお	Satoo family name
すずき[すずき]	すずき	Suzuki family name
たかはし[たかはし]	たかはし	Takahashi family name
いとう[いとう]	いとう	Itoo family name
たくや[たくや]	たくや	Takuya given name for men
しょうた[しょうた]	しょうた	Shoota given name for men
いちろう[いちろう]	いちろう	Ichiroo given name for men
ひろし[ひろし]	ひろし	Hiroshi given name for men
まさひろ[まさひろ]	まさひろ	Masahiro given name for men
えりか[えりか]	えりか	Erika given name for women
あい[あい]	あい	Ai given name for women
なおみ[なおみ]	なおみ	Naomi given name for women
ゆうこ[ゆうこ]	ゆうこ	Yuuko given name for women
みさき[みさき]	みさき	Misaki given name for women
// Genki One/Lesson Two/Words that point
これ[これ]	これ	this one
それ[それ]	それ	that one
あれ[あれ]	それ	that one over there
どれ[どれ]	どれ	which one
この[この]	この	this ...
その[その]	その	that ...
あの[あの]	あの	that ... over there
どの[どの]	どの	which ...
ここ[ここ]	ここ	here
そこ[そこ]	そこ	there
あそこ[あそこ]	あそこ	over there
どこ[どこ]	どこ	where
だれ[だれ]	だれ	who
// Genki One/Lesson Two/Food
おいしい[おいしい]	おいしい	delicious
さかな[さかな]	さかな	fish
とんかつ[とんかつ]	とんかつ	pork cutlet
にく[にく]	にく	meat
メニュー[メニュー]	めにゅう	menu
やさい[やさい]	やさい	vegetable
// Genki One/Lesson Two/Things
えんぴつ[えんぴつ]	えんぴつ	pencil
かさ[かさ]	かさ	umbrella
かばん[かばん]	かばん	bag
くつ[くつ]	くつ	shoes
さいふ[さいふ]	さいふ	wallet
ジーンズ[ジーンズ]	じいんず	jeans
じしょ[じしょ]	じしょ	dictionary
じてんしゃ[じてんしゃ]	じてんしゃ	bicycle
しんぶん[しんぶん]	しんぶん	newspaper
Tシャツ[Tシャツ]	てぃいしゃつ	T-shirt
とけい[とけい]	とけい	watch; clock
ノート[ノート]	のおと	notebook
ペン[ペン]	ぺん	pen
ぼうし[ぼうし]	ぼうし	hat; cap
ほん[ほん]	ほん	book
// Genki One/Lesson Two/Places
きっさてん[きっさてん]	きっさてん	cafe
ぎんこう[ぎんこう]	ぎんこう	bank
トイレ[トイレ]	といれ	toilet; restroom
としょかん[としょかん]	としょかん	library
ゆうびんきょく[ゆうびんきょく]	ゆうびんきょく	post office
// Genki One/Lesson Two/Countries
アメリカ[アメリカ]	あめりか	U.S.A.
イギリス[イギリス]	いぎりす	Britain
かんこく[かんこく]	かんこく	Korea
ちゅうごく[ちゅうごく]	ちゅうごく	China
// Genki One/Lesson Two/Majors
けいざい[けいざい]	けいざい	economics
コンピューター[コンピューター]	こんぴゅうたあ	computer
ビジネス[ビジネス]	びじねす	business
れきし[れきし]	れきし	history
// Genki One/Lesson Two/Family
おかあそん[おかあそん]	おかあそん	mother
おとうさん[おとうさん]	おとうさん	father
// Genki One/Lesson Two/Money Matters
いくら[いくら]	いくら	how much
~えん[~えん]	えん	yen
たかい[たかい]	たかい	expensive; heigh
// Genki One/Lesson Two/Expressions
いらっしゃいませ[いらっしゃいませ]	いらっしゃいませ	Welcome (to our place/store)
(~を)おねがいします[(~を)おねがいします]	(~を)おねがいします	..., please.
(~を)ください[(~を)ください]	(~を)ください	Please give me ...
じゃあ[じゃあ]	じゃあ	then ...; if that is the case, ...
でうぞ[でうぞ]	でうぞ	Please; Here it is
どうも[どうも]	どうも	Thank you.
// Genki One/Lesson Two/Classroom
きょうしつ[きょうしつ]	きょうしつ	classroom
でんき[でんき]	でんき	electric light
こくばん[こくばん]	こくばん	blackboard
ドア[ドア]	どあ	door
カーテン[カーテン]	かあてん	curtain, curtains
まど[まど]	まど	window
ほん[ほん]	ほん	book
じしょ[じしょ]	じしょ	dictionary
えんぴつ[えんぴつ]	えんぴつ	pencil
ペン[ペン]	ぺん	pen
けしゴム[けしゴム]	けしごむ	eraser
いす[いす]	いす	chair
